Nuclide,T12
Neutron,613.9
1H,STABLE
2H,STABLE
3H,388789632
5H,7.99E-23
6H,2.85E-22
7H,0.09
3He,STABLE
4He,STABLE
5He,7.60E-22
6He,0.8067
7He,3.04E-21
8He,0.1191
10He,1.52E-21
4Li,6.03
5Li,3.04E-22
6Li,STABLE
7Li,STABLE
8Li,0.8399
9Li,0.1783
11Li,0.00875
6Be,4.95E-21
7Be,4598208
8Be,8.18E-17
9Be,STABLE
10Be,4.7652E+13
11Be,13.76
12Be,0.02147
13Be,2.70E-21
14Be,0.00435
15Be,7.86E-22
16Be,5.70E-22
7B,3.26E-22
8B,0.77
9B,8.44E-19
10B,STABLE
11B,STABLE
12B,0.0202
13B,0.01733
14B,0.01236
15B,0.01018
17B,0.00508
19B,0.00292
8C,1.98E-21
9C,0.1265
10C,19.308
11C,1221.84
12C,STABLE
13C,STABLE
14C,1.79878E+11
15C,2.449
16C,0.747
17C,0.191
18C,0.092
19C,0.0462
20C,0.0162
22C,0.0061
11N,5.49E-22
12N,0.011
13N,597.9
14N,STABLE
15N,STABLE
16N,7.13
17N,4.171
18N,0.619
19N,0.336
20N,0.136
21N,0.0848
22N,0.0195
23N,0.0141
12O,1.14E-21
13O,0.00858
14O,70.62
15O,122.24
16O,STABLE
17O,STABLE
18O,STABLE
19O,26.88
20O,13.51
21O,3.42
22O,2.25
23O,0.097
24O,0.072
25O,6.30E-21
26O,4.50E-12
14F,5.01E-22
15F,6.90E-22
16F,1.14E-20
17F,64.49
18F,6586.2
19F,STABLE
20F,11.07
21F,4.158
22F,4.23
23F,2.23
24F,0.382
25F,0.08
26F,0.0082
27F,0.005
28F,4.60E-20
29F,0.00267
16Ne,9.00E-21
17Ne,0.1092
18Ne,1.667
19Ne,17.22
20Ne,STABLE
21Ne,STABLE
22Ne,STABLE
23Ne,37.24
24Ne,202.8
25Ne,0.602
26Ne,0.197
27Ne,0.0315
28Ne,0.02
29Ne,0.015
30Ne,0.00739
31Ne,0.0034
32Ne,0.0035
18Na,1.30E-21
20Na,0.4479
21Na,22.49
22Na,82106563.68
23Na,STABLE
24Na,53989.2
25Na,59.1
26Na,1.07128
27Na,0.301
28Na,0.0305
29Na,0.0441
30Na,0.048
31Na,0.0174
32Na,0.0132
33Na,0.0081
34Na,0.005
35Na,0.0018
19Mg,4.00E-12
20Mg,0.0908
21Mg,122
22Mg,3.8755
23Mg,11.317
24Mg,STABLE
25Mg,STABLE
26Mg,STABLE
27Mg,567.48
28Mg,75294
29Mg,1.3
30Mg,0.317
31Mg,0.236
32Mg,0.086
33Mg,0.0894
34Mg,0.02
35Mg,0.0113
36Mg,0.0058
37Mg,0.008
22Al,0.0911
23Al,0.47
24Al,2.053
25Al,7.183
26Al,2.26268E+13
27Al,STABLE
28Al,134.7
29Al,393.6
30Al,3.62
31Al,0.644
32Al,0.0319
33Al,0.0417
34Al,0.0563
35Al,0.0376
36Al,0.094
37Al,0.0107
38Al,0.0076
39Al,0.0076
22Si,0.029
23Si,0.0423
24Si,0.1405
25Si,0.22
26Si,2.2453
27Si,4.15
28Si,STABLE
29Si,STABLE
30Si,STABLE
31Si,9441.6
32Si,4828312800
33Si,6.11
34Si,2.77
35Si,0.78
36Si,0.45
37Si,0.09
38Si,0.095
39Si,0.0475
40Si,0.033
41Si,0.02
42Si,0.0125
26P,0.0437
27P,0.26
28P,0.2703
29P,4.142
30P,149.88
31P,STABLE
32P,1232755.2
33P,2190240
34P,12.43
35P,47.3
36P,5.6
37P,2.31
38P,0.64
