Nuclide,Element,Z,N,A,QB-,QB1n,QB2n,Half-Life,P1n,P2n,P1n-old,P2n-old,P1n-oldest,P2n-oldest,Q_{\beta^{-}},Q_{\beta^{-}n},Q_{\beta^{-}2n},Q_{\beta^{-}3n},Half-Life-old
73Cu,Cu,29,44,73,6606.0,1086.7,0,4.20,0.029,0,0.029,0,0.029(6),,6606.0(27),1086.7(29),,,4.20(15)
74Cu,Cu,29,45,74,9750.5,1515.9,0,1.598,0.075,0,0.075,0,0.075(16),,9750.5(66),1515.9(64),,,1.598(14)
75Cu,Cu,29,46,75,8087.6,3214.1,0,1.224,2.7,0,2.7,0,2.7(6),,8087.6(30),3214.1(34),,,1.224(3)
76Cu,Cu,29,47,76,11327.0,3511.6,0,0.637,7.2,0,7.2,0,7.2(5),,11327.0(69),3511.6(70),,,0.637(8)
77Cu,Cu,29,48,77,10170,5610,0,0.4698,30.1,0,30.1,0,30.1(20),,10170(150)\#,5610(150)\#,,,0.4698(20)
78Cu,Cu,29,49,78,12990,6220,1660,0.3317,51,-1,51,-1,51(10),-1,12990(500),6220(500),1660(500),,0.3317(20)
79Cu,Cu,29,50,79,11690,7670,910,0.2413,66,0.001,66,-1,66(12),-1,11690(300)\#,7670(300)\#,910(300)\#,,0.2413(21)
80Cu,Cu,29,51,80,15450,9160,5140,0.1133,58,-1,58,-1,58(9),-1,15450(400)\#,9160(400)\#,5140(400)\#,,0.1133(64)
81Cu,Cu,29,52,81,14780,12160,5870,0.0732,80,-1,80,-1,80(20),-1,14780(500)\#,12160(500)\#,5870(500)\#,1850(500)\#,0.0732(68)
82Cu,Cu,29,53,82,16990,12810,10190,0.0323,-1,-1,-1,-1,-1,-1,16990(600)\#,12810(600)\#,10190(600)\#,3900(600)\#,0.0323($^{+74 }_{-65}$)
83Cu,Cu,29,54,83,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
78Zn,Zn,30,48,78,6222.7,437.8,0,1.47,0.001,0,-1,0,-1,,6222.7(27),437.8(31),,,1.47(15)
79Zn,Zn,30,49,79,9115.4,2202.3,0,0.746,1.75,0,1.75,0,1.75(45),,9115.4(29),2202.3(29),,,0.746(42)
80Zn,Zn,30,50,80,7575.1,2827.8,0,0.5619,1.36,0,1.36,0,1.36(12),,7575.1(39),2827.8(32),,,0.5619(30)
81Zn,Zn,30,51,81,11428.3,4952.7,205.4,0.3035,9.8,0.001,9.8,-1,9.8(30),-1,11428.3(60),4952.7(58),205.4(54),,0.3035(31)
82Zn,Zn,30,52,82,10616.8,7242.7,767.1,0.1779,69,0.001,69,-1,69(7),-1,10616.8(39),7242.7(45),767.1(42),,0.1779(25)
83Zn,Zn,30,53,83,12970,8570,5200,0.0997,71,-1,71,-1,>71(29),-1,12970(300)\#,8570(300)\#,5200(300)\#,,0.0997(30)
84Zn,Zn,30,54,84,12160,9260,4860,0.0536,73,-1,73,-1,73(26),-1,12160(450)\#,9260(400)\#,4860(400)\#,1480(400)\#,0.0536(81)
85Zn,Zn,30,55,85,14620,10790,7880,-1,-1,-1,-1,-1,-1,-1,14620(580)\#,10790(540)\#,7880(500)\#,3490(500)\#,-1
79Ga,Ga,31,48,79,6979,1243.0,0,2.852,0.084,0,0.084,0,0.084(29),,6979(37),1243.0(40),,,2.852(10)
80Ga,Ga,31,49,80,10311.6,2232,0,1.9,0.9,0,0.9,0,0.90(7)$^m$,,10311.6(35),2232(37),,,1.9(1)
81Ga,Ga,31,50,81,8663.7,3836.0,0,1.217,12.5,0,12.5,0,12.5(8),,8663.7(39),3836.0(39),,,1.217(4)
82Ga,Ga,31,51,82,12484.3,5289.6,462.0,0.601,22.7,0.001,22.7,-1,22.7(20),-1,12484.3(33),5289.6(32),462.0(32),,0.601(2)
83Ga,Ga,31,52,83,11719.3,8086.6,891.9,0.310,67,0.001,67,-1,67(6),-1,11719.3(36),8086.6(34),891.9(33),,0.310(1)
84Ga,Ga,31,53,84,14060,8820,5180,0.0952,46,1.6,46,1.6,46(5),1.6(2),14060(200)\#,8820(200)\#,5180(200)\#,,0.0952(25)
85Ga,Ga,31,54,85,13270,10230,4980,0.0919,80,1.3,80,1.3,80(10),1.3(2),13270(300)\#,10230(300)\#,4980(300)\#,1350(300)\#,0.0919(12)
86Ga,Ga,31,55,86,15320,10970,7930,0.0492,69,16.2,69,16.2,69(8),16.2(11),15320(590)\#,10970(400)\#,7930(400)\#,2680(400)\#,0.0492(20)
87Ga,Ga,31,56,87,14830,12080,7730,0.029,81,10.2,81,10.2,81(12),10.2(28),14830(580)\#,12080(670)\#,7730(500)\#,4680(500)\#,0.029(4)
83Ge,Ge,32,51,83,8692.9,1057.7,0,1.85,-1,0,-1,0,-1,,8692.9(37),1057.7(44),,,1.85(6)
84Ge,Ge,32,52,84,7705.1,3449.6,0,0.952,10.6,0,10.6,0,10.6(6),,7705.1(45),3449.6(42),,,0.952(11)
85Ge,Ge,32,53,85,10065.7,4658.8,403.3,0.497,16.2,0.001,16.2,-1,16.2(18),-1,10065.7(48),4658.8(49),403.3(47),,0.497(6)
86Ge,Ge,32,54,86,9560,5720,310,0.222,45,0,45,0,45(15),,9560(440),5720(440),310(440),,0.222(22)
87Ge,Ge,32,55,87,11540,6810,2970,0.1032,-1,-1,-1,-1,-1,-1,11540(300)\#,6810(300)\#,2970(300)\#,,0.1032(35)
88Ge,Ge,32,56,88,10580,7410,2680,0.0608,-1,-1,-1,-1,-1,-1,10580(450)\#,7410(400)\#,2680(400)\#,,0.0608(61)
89Ge,Ge,32,57,89,13070,8920,5750,-1,-1,-1,-1,-1,-1,-1,13070(500)\#,8920(450)\#,5750(400)\#,1020(400)\#,-1
90Ge,Ge,32,58,90,12110,9510,5360,-1,-1,-1,-1,-1,-1,-1,12110(640)\#,9510(580)\#,5360(540)\#,2180(500)\#,-1
84As,As,33,51,84,10094.2,1415.7,0,4.03,0.281,0,0.281,0,0.281(38),,10094.2(37),1415.7(44),,,4.03(6)
85As,As,33,52,85,9224.5,4687.3,0,2.023,62.5,0,62.5,0,62.5(10),,9224.5(40),4687.3(36),,,2.023(7)
86As,As,33,53,86,11541.0,5380.2,842.9,0.944,35.4,0.001,35.4,-1,35.4(6),-1,11541.0(43),5380.2(43),842.9(40),,0.944(10)
87As,As,33,54,87,10808.2,6813.9,653.1,0.484,15.4,0.001,15.4,-1,15.4(22),-1,10808.2(37),6813.9(39),653.1(40),,0.484(35)
88As,As,33,55,88,13160,7640,3640,0.20,-1,-1,-1,-1,-1,-1,13160(200)\#,7640(200)\#,3640(200)\#,,0.20($^{+20}_{ -9}$)
89As,As,33,56,89,12190,9020,3490,-1,-1,-1,-1,-1,-1,-1,12190(300)\#,9020(300)\#,3490(300)\#,,-1
90As,As,33,57,90,14470,9590,6410,-1,-1,-1,-1,-1,-1,-1,14470(520)\#,9590(400)\#,6410(400)\#,880(400)\#,-1
91As,As,33,58,91,13680,10830,5950,-1,-1,-1,-1,-1,-1,-1,13680(590)\#,10830(520)\#,5950(400)\#,2770(400)\#,-1
92As,As,33,59,92,15740,11530,8680,-1,-1,-1,-1,-1,-1,-1,15740(640)\#,11530(660)\#,8680(600)\#,3800(500)\#,-1
86Se,Se,34,52,86,5129.1,1.0,0,14.1,0.001,0,-1,0,-1,,5129.1(40),1.0(40),,,14.1(2)
87Se,Se,34,53,87,7465.6,1134.8,0,5.65,0.6,0,0.6,0,0.60(12),,7465.6(39),1134.8(38),,,5.65(12)
